epoch,batch_idx,data_type,tot_loss,recon_loss,pred_loss,kld_loss,prop_mse_loss,run_time
0,194,train,3.997352695465088,0.9230199694633484,3.074332761764526,2.0405202150186596e-08,0.0,7.21287
0,195,train,3.978500318527222,0.9133290410041809,3.065171241760254,2.0764182195875947e-08,0.0,7.21598
0,196,train,3.947839450836182,0.907726275920868,3.0401132106781006,2.10532824951315e-08,0.0,7.17183
0,197,train,3.9699831008911133,0.9113622784614563,3.05862078666687,2.1567310071191058e-08,0.0,7.33723
0,198,train,3.9118748188018797,0.8965717911720276,3.0153030872344972,2.197144901572301e-08,0.0,7.28075
0,199,train,3.9601260662078857,0.9055930733680725,3.054533004760742,2.233222922143341e-08,0.0,7.28297
0,200,train,3.922116756439209,0.8885391116142273,3.033577632904053,2.2688680445526187e-08,0.0,7.35369
0,201,train,3.845993185043335,0.8800288438796997,2.9659643173217773,2.308297197828324e-08,0.0,7.19719
0,202,train,3.952590990066528,0.8813012838363647,3.0712897300720217,2.3543009319837438e-08,0.0,7.23978
0,203,train,3.8317117214202883,0.87571222782135,2.95599946975708,2.406642849450691e-08,0.0,7.15397
0,204,train,3.8637096881866455,0.8747230768203735,2.988986587524414,2.442819884151959e-08,0.0,7.27421
0,205,train,3.78727707862854,0.863685941696167,2.923591136932373,2.490894885909256e-08,0.0,7.15051
0,206,train,3.750274085998535,0.8652056813240051,2.8850683689117433,2.543695671874957e-08,0.0,6.88261
0,207,train,3.8100956439971925,0.8561024904251099,2.953993225097656,2.580780673611116e-08,0.0,7.06088
0,208,train,3.7940375328063967,0.8579188227653504,2.936118745803833,2.6222680205023607e-08,0.0,7.25779
0,209,train,3.783932256698608,0.8483890175819397,2.9355432987213135,2.6483030524104835e-08,0.0,7.12785
0,210,train,3.8501951694488525,0.8508021354675293,2.999393033981323,2.6911837736065537e-08,0.0,7.17652
