SMILES,IE,Concentration_mM
c1cc(-c2nnc(-c3ccsc3)s2)cs1,0.936,0.05
c1cc(-c2noc(-c3ccncc3)n2)ccn1,0.8112,0.2
c1cc(-c2noc(-c3ccncc3)n2)ccn1,0.836,0.4
c1cc(-c2noc(-c3ccncc3)n2)ccn1,0.912,0.8
c1cc(-c2noc(-c3ccncc3)n2)ccn1,0.9397,1.2
c1cc(N(CC2CO2)CC2CO2)ccc1Oc1ccc(N(CC2CO2)CC2CO2)cc1,0.913,1
c1cc(N(CC2CO2)CC2CO2)ccc1Oc1ccc(N(CC2CO2)CC2CO2)cc1,0.868,0.01
c1cc(N(CC2CO2)CC2CO2)ccc1Oc1ccc(N(CC2CO2)CC2CO2)cc1,0.885,0.1
c1cc(N(CC2CO2)CC2CO2)ccc1Oc1ccc(N(CC2CO2)CC2CO2)cc1,0.745,0.001
c1ccc(-c2ccccc2OCC2CO2)c(OCC2CO2)c1,0.958,1
c1ccc(-c2ccccc2OCC2CO2)c(OCC2CO2)c1,0.909,0.01
c1ccc(-c2ccccc2OCC2CO2)c(OCC2CO2)c1,0.915,0.1
c1ccc(-c2ccccc2OCC2CO2)c(OCC2CO2)c1,0.82,0.001
c1ccc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,0.892,1
c1ccc(-c2nc3ccccc3[nH]2)cc1,0.879,1
c1ccc(-c2nc3ccccc3[nH]2)cc1,0.741,0.1
c1ccc(-c2nc3ccccc3[nH]2)cc1,0.818,0.5
c1ccc(-c2nc3ccccc3n2CCCCn2c(-c3ccccc3)nc3ccccc32)cc1,0.81,1
c1ccc(-c2nc3ccccc3n2CCCCn2c(-c3ccccc3)nc3ccccc32)cc1,0.67,0.1
c1ccc(-c2nc3ccccc3n2CCCCn2c(-c3ccccc3)nc3ccccc32)cc1,0.75,0.5
c1ccc(-c2nc3ccccc3n2CCCCn2c(-c3ccccc3)nc3ccccc32)cc1,0.88,5
c1ccc(-c2nnc(-c3ccccn3)c3c2[nH]c2ccccc23)nc1,0.505,0.01
c1ccc(-c2nnc(-c3ccccn3)c3c2[nH]c2ccccc23)nc1,0.902,0.1
c1ccc(-c2noc(-c3ccccn3)n2)nc1,0.8551,0.2
c1ccc(-c2noc(-c3ccccn3)n2)nc1,0.8726,0.4
c1ccc(-c2noc(-c3ccccn3)n2)nc1,0.9271,0.8
c1ccc(-c2noc(-c3ccccn3)n2)nc1,0.9544,1.2
c1ccc(Cc2ccc3ncccc3c2)cc1,0.9654,1
c1ccc(Cc2ccc3ncccc3c2)cc1,0.7318,0.1
c1ccc(Cc2ccc3ncccc3c2)cc1,0.9103,0.5
c1ccc(Cc2cccc3ncccc23)cc1,0.9474,1
c1ccc(N(CC2CO2)CC2CO2)cc1,0.963,1
c1ccc(N(CC2CO2)CC2CO2)cc1,0.948,0.01
c1ccc(N(CC2CO2)CC2CO2)cc1,0.954,0.1
c1ccc(N(CC2CO2)CC2CO2)cc1,0.928,0.001
c1ccc2[nH]c(-c3ccncc3)nc2c1,0.805,1
c1ccc2[nH]c(-c3ccncc3)nc2c1,0.695,0.1
c1ccc2[nH]c(-c3ccncc3)nc2c1,0.76,0.5
c1ccc2[nH]c(-c3ccncc3)nc2c1,0.715,0.25
c1ccc2[nH]c(-c3ccncc3)nc2c1,0.821,2
c1ccc2[nH]c(-c3cscn3)nc2c1,0.861,1
c1ccc2[nH]c(CCc3nc4ccccc4[nH]3)nc2c1,0.94,1
c1ccc2[nH]c(CCc3nc4ccccc4[nH]3)nc2c1,0.65,0.1
